project_category,mean,std,median,p25,p75,n_observations,n_users
charity,39.99158179848321,98.83659732043648,20.25,12.37,33.18,14768,2462
education,19.421624391938845,26.461885128243324,11.434999999999999,5.46,24.2,11512,1706
entertainment,293.1216073683752,284.97790906696343,215.0,107.25,386.805,22963,2984
gas,39.36830392156863,85.28518976272078,16.439999999999998,6.6475,41.63,9180,1020
groceries,331.48635074074076,403.1593337967559,243.47,111.3425,423.995,27000,3000
healthcare,37.87178416304711,76.18702587134173,13.12,5.08,32.22,2993,415
housing,49.359496666666665,46.39633445263878,44.879999999999995,26.575,64.6225,27000,3000
misc,387.6009490268768,299.4185888819517,359.19,78.39,660.7375000000001,21580,2884
personal_care,41.5148782161235,115.66839202597652,12.56,6.0,32.620000000000005,2915,434
restaurants,74.3548062962963,268.60232074258033,48.2,28.14,67.52,27000,3000
shopping,271.8969367957615,292.39971624065123,194.985,91.67,340.1575,26802,2978
transport,48.91057703703704,71.74303974565574,32.42,12.8,62.2725,27000,3000
utilities,59.78596736035928,42.45477702716998,48.99,31.32,77.32,24939,2771
